Name,Domain,Indicator,Year,GeogID,Month,Measure,Value,ts,measureName,indicatorName,contentAreaName
LA PAZ,HSI,67,2016-2018,4012,ALL,370,7,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
LA PAZ,HSI,67,2016-2018,4012,ALL,370,7,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2016-2018,4013,ALL,370,342,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MARICOPA,HSI,67,2016-2018,4013,ALL,370,342,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2016-2018,4015,ALL,370,53,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
MOHAVE,HSI,67,2016-2018,4015,ALL,370,53,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
NAVAJO,HSI,67,2016-2018,4017,ALL,370,7,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
NAVAJO,HSI,67,2016-2018,4017,ALL,370,7,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2016-2018,4019,ALL,370,21,2023-04-18T10:21:46.240,"Number of summertime (May-Sep) heat-related deaths, by year",Heat-Related Mortality,Heat Stress Illness
PIMA,HSI,67,2016-2018,4019,ALL,370,21,2023-04-18T10:21:46.240,Number of summertime (May-Sep) heat-related deaths,Heat-Related Mortality,Heat Stress Illness
